Name,ICD_1$i_pr,ICD_2$i_pr,ICD_3$i_pr,Median,lCI_Bca,uCI_Bca
ALAT,0.15192121,0.57461549,0.03096344,0.1519212,0.031,0.5746
AP,0.02509015,0.08078762,0.02799348,0.02799348,0.0251,0.0808
ASAT,0.0850888,0.05095699,0.04478458,0.05095699,0.0448,0.0851
CA,0.04348943,1,0.63862608,0.6386261,0.0435,1
CK,1,0.87724076,1,1,0.8772,1
CREA,0.32989355,0.29244637,0.18158993,0.2924464,0.1816,0.3299
CRP,0.07112698,0.1255999,0.03465915,0.07112698,0.0347,0.1256
GGT,0.02284123,0.21771311,0.11316236,0.1131624,0.0228,0.2177
GL,0.21526795,0.03848312,0.06808594,0.06808594,0.0385,0.2153
KA,0.04565928,0.11035264,0.0376732,0.04565928,0.0377,0.1104
LDH,1,1,1,1,1,1
NA,0.56019888,0.39169228,0.65101285,0.5601989,0.3917,0.651
TNT,1,1,1,1,1,1
UREA,0.46622596,0.54675136,0.62759562,0.5467514,0.4662,0.6276